Div,Team,Oponent,Oponent_HTG,HTG,HTR,Referee,Venue,FTR
E0,Arsenal,Southampton,0,2,WIN,G Scott,HOME,WIN
E0,Man United,Liverpool,0,0,DRAW,M Oliver,HOME,DRAW
E0,Cardiff,Everton,1,0,LOSE,K Friend,HOME,LOSE
E0,Huddersfield,Wolves,0,0,DRAW,D Coote,HOME,WIN
E0,Leicester,Brighton,0,1,WIN,L Probert,HOME,WIN
E0,Newcastle,Burnley,0,2,WIN,C Pawson,HOME,WIN
E0,Arsenal,Bournemouth,1,2,WIN,C Kavanagh,HOME,WIN
E0,Chelsea,Tottenham,0,0,DRAW,A Marriner,HOME,WIN
E0,Crystal Palace,Man United,1,0,LOSE,M Atkinson,HOME,LOSE
E0,Liverpool,Watford,0,2,WIN,G Scott,HOME,WIN
E0,Man City,West Ham,0,0,DRAW,S Attwell,HOME,WIN
E0,Southampton,Fulham,0,2,WIN,A Taylor,HOME,WIN
E0,Bournemouth,Man City,0,0,DRAW,K Friend,HOME,LOSE
E0,Brighton,Huddersfield,0,0,DRAW,M Dean,HOME,WIN
E0,Burnley,Crystal Palace,1,0,LOSE,L Probert,HOME,LOSE
E0,Man United,Southampton,1,0,LOSE,S Attwell,HOME,WIN
E0,Tottenham,Arsenal,1,0,LOSE,A Taylor,HOME,DRAW
E0,West Ham,Newcastle,0,2,WIN,C Kavanagh,HOME,WIN
E0,Wolves,Cardiff,0,2,WIN,A Marriner,HOME,WIN
E0,Everton,Liverpool,0,0,DRAW,M Atkinson,HOME,DRAW
E0,Fulham,Chelsea,2,1,LOSE,G Scott,HOME,LOSE
E0,Watford,Leicester,0,1,WIN,J Moss,HOME,WIN
E0,Cardiff,West Ham,0,1,WIN,G Scott,HOME,WIN
E0,Crystal Palace,Brighton,1,0,LOSE,C Pawson,HOME,LOSE
E0,Huddersfield,Bournemouth,1,0,LOSE,A Taylor,HOME,LOSE
E0,Leicester,Fulham,0,1,WIN,D Coote,HOME,WIN
E0,Man City,Watford,0,0,DRAW,P Tierney,HOME,WIN
E0,Newcastle,Everton,2,0,LOSE,L Mason,HOME,WIN
E0,Southampton,Tottenham,1,0,LOSE,K Friend,HOME,WIN
E0,Arsenal,Man United,0,1,WIN,J Moss,HOME,WIN
E0,Chelsea,Wolves,0,0,DRAW,M Oliver,HOME,DRAW
E0,Liverpool,Burnley,1,2,WIN,A Marriner,HOME,WIN
E0,Bournemouth,Newcastle,1,0,LOSE,M Dean,HOME,DRAW
